,nationality,acommodation,stay,company,review_title,good_review,bad_review,url,hotel_id,date,complete_date
306,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En grupo,Bien,Esta entrada no tiene comentarios,,,11042.0,marzo de 2021,Comentó en: 23 de marzo de 2021
307,Arabia Saudí,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Muy bien,Esta entrada no tiene comentarios,,,11042.0,octubre de 2023,Comentó en: 14 de octubre de 2023
308,Corea del Sur,King Studio Suite with Accessible Tub - Disability Access,6 noches,En familia,Muy bien,Esta entrada no tiene comentarios,,,11042.0,septiembre de 2023,Comentó en: 3 de octubre de 2023
309,Taiwán,Suite Estudio con cocina y sofá cama - Cama extragrande,6 noches,En familia,Muy bien,Esta entrada no tiene comentarios,,,11042.0,septiembre de 2023,Comentó en: 27 de septiembre de 2023
310,China,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Muy bien,Esta entrada no tiene comentarios,,,11042.0,septiembre de 2023,Comentó en: 24 de septiembre de 2023
311,Italia,Den Room with King Bed,3 noches,Persona que viaja sola,Fantástico,Esta entrada no tiene comentarios,,,11042.0,agosto de 2023,Comentó en: 31 de agosto de 2023
312,Alemania,Suite Estudio con cocina y sofá cama - Cama extragrande,7 noches,Persona que viaja sola,Muy bien,Esta entrada no tiene comentarios,,,11042.0,agosto de 2023,Comentó en: 27 de agosto de 2023
313,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En grupo,Excepcional,Esta entrada no tiene comentarios,,,11042.0,agosto de 2023,Comentó en: 19 de agosto de 2023
314,Suiza,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En pareja,Fantástico,Esta entrada no tiene comentarios,,,11042.0,agosto de 2023,Comentó en: 11 de agosto de 2023
315,China,"Suite de 1 dormitorio con cama extragrande, cocina y ducha accesible en silla de ruedas - Adaptado para personas con discapacidad",8 noches,En familia,Very good,Esta entrada no tiene comentarios,,,11042.0,agosto de 2023,Comentó en: 10 de agosto de 2023
316,Filipinas,Suite Estudio con cocina y sofá cama - Cama extragrande,6 noches,Persona que viaja sola,Fantástico,Esta entrada no tiene comentarios,,,11042.0,mayo de 2023,Comentó en: 30 de mayo de 2023
317,Polinesia Francesa,King Studio Suite with Accessible Tub - Disability Access,3 noches,En grupo,Fantástico,Esta entrada no tiene comentarios,,,11042.0,abril de 2023,Comentó en: 19 de abril de 2023
318,China,Suite Estudio con cocina y sofá cama - Cama extragrande,6 noches,En grupo,Muy bien,Esta entrada no tiene comentarios,,,11042.0,marzo de 2023,Comentó en: 12 de marzo de 2023
319,Estados Unidos,Den Room with King Bed,4 noches,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,11042.0,enero de 2023,Comentó en: 22 de febrero de 2023
320,Estados Unidos,Den Room with King Bed,1 noche,En pareja,Fantástico,Esta entrada no tiene comentarios,,,11042.0,enero de 2023,Comentó en: 30 de enero de 2023
321,Corea del Sur,One-Bedroom King Suite with Kitchen and Accessible Tub - Disability Access,11 noches,En familia,Fantástico,Esta entrada no tiene comentarios,,,11042.0,octubre de 2022,Comentó en: 31 de octubre de 2022
322,China,Den Room with King Bed,1 noche,Persona que viaja sola,Fantástico,Esta entrada no tiene comentarios,,,11042.0,agosto de 2022,Comentó en: 11 de octubre de 2022
323,Alemania,Den Room with King Bed,4 noches,En pareja,Fantástico,Esta entrada no tiene comentarios,,,11042.0,mayo de 2022,Comentó en: 9 de agosto de 2022
324,Corea del Sur,King Studio Suite with Accessible Tub - Disability Access,6 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,11042.0,julio de 2022,Comentó en: 23 de julio de 2022
325,Alemania,Suite Estudio con cocina y sofá cama - Cama extragrande,10 noches,Persona que viaja sola,Muy bien,Esta entrada no tiene comentarios,,,11042.0,junio de 2022,Comentó en: 4 de julio de 2022
326,Taiwán,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,11042.0,junio de 2022,Comentó en: 28 de junio de 2022
327,Corea del Sur,Den Room with King Bed,2 noches,En grupo,Fantástico,Esta entrada no tiene comentarios,,,11042.0,junio de 2022,Comentó en: 24 de junio de 2022
328,Estados Unidos,Den Room with King Bed,4 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,11042.0,junio de 2022,Comentó en: 23 de junio de 2022
329,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,11042.0,marzo de 2022,Comentó en: 23 de marzo de 2022
330,Estados Unidos,Den Room with King Bed,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,11042.0,febrero de 2022,Comentó en: 22 de febrero de 2022
331,Alemania,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",7 noches,En pareja,Fantástico,Esta entrada no tiene comentarios,,,11042.0,noviembre de 2021,Comentó en: 29 de noviembre de 2021
332,Corea del Sur,Suite Estudio con cocina y sofá cama - Cama extragrande,5 noches,En familia,Fantástico,Esta entrada no tiene comentarios,,,11042.0,noviembre de 2021,Comentó en: 25 de noviembre de 2021
333,Israel,Habitación Doble - 2 camas dobles y sofá cama,7 noches,En familia,Fantástico,Esta entrada no tiene comentarios,,,11042.0,agosto de 2021,Comentó en: 28 de agosto de 2021
334,Alemania,Suite Estudio con cocina y sofá cama - Cama extragrande,7 noches,Persona que viaja sola,Muy bien,Esta entrada no tiene comentarios,,,11042.0,agosto de 2021,Comentó en: 15 de agosto de 2021
335,China,Suite Estudio con cocina y sofá cama - Cama extragrande,10 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,11042.0,agosto de 2021,Comentó en: 9 de agosto de 2021
336,Estados Unidos,King Studio Suite with Accessible Tub - Disability Access,1 noche,En pareja,Bien,Esta entrada no tiene comentarios,,,11042.0,abril de 2023,Comentó en: 12 de mayo de 2023
337,Francia,Den Room with King Bed,3 noches,Persona que viaja sola,Agradable,Esta entrada no tiene comentarios,,,11042.0,diciembre de 2021,Comentó en: 2 de diciembre de 2021
338,Estados Unidos,Den Room with King Bed,4 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,11042.0,diciembre de 2022,Comentó en: 12 de diciembre de 2022
339,Estados Unidos,Den Room with King Bed,4 noches,En pareja,Aceptable,Esta entrada no tiene comentarios,,,11042.0,agosto de 2023,Comentó en: 9 de agosto de 2023
340,España,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2 noches,En familia,muy buena,"mucho, el hotel estaba bien ubicado",espera en ascensores,,12695.0,marzo de 2022,Comentó en: 1 de abril de 2022
341,Chile,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2 noches,En pareja,Fantástico,Ubicación,No hay estacionamiento,,12695.0,octubre de 2023,Comentó en: 30 de noviembre de 2023
342,México,Habitación con cama extragrande.,1 noche,En familia,Regresasré,Excelente ambiente y atención. Limpieza.,El servicio de parking,,12695.0,agosto de 2023,Comentó en: 1 de septiembre de 2023
343,México,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,5 noches,En familia,Fantástico,La ubicación,El estacionamiento muy caro,,12695.0,agosto de 2023,Comentó en: 31 de agosto de 2023
344,España,Habitación con 2 camas grandes,3 noches,En familia,Buen hotel en perfecta localización,Localización,Falta de restauración más buena,,12695.0,agosto de 2023,Comentó en: 19 de agosto de 2023
345,México,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,5 noches,En familia,Una estadía excepcional en San francisco.,"Limpieza en general. El tamaño de la habitacion es mas grande que el promedio, tranquilidad de la habitación. Camas muy comodas. Baños limpios. Y la ubicación del hotel es excelente.",El estacionamiento es un poco elevado de precio.,,12695.0,agosto de 2023,Comentó en: 18 de agosto de 2023
346,México,Habitación Doble con 2 camas dobles y vistas a la bahía,3 noches,En familia,Fantástico,"El desayuno en el hotel no es de lo mejor, falta variedad",,,12695.0,agosto de 2023,Comentó en: 9 de agosto de 2023
347,México,Habitación con balcón y vistas a la ciudad - 2 camas grandes,4 noches,En familia,Muy bien,"Al registrarme mi habitación tardo mucho en estar lista y cada vez que preguntaba me decian que ya pronto, al final un recepcionista nos atendió muy bien y nos dio un crédito y un aperitivo.",,,12695.0,agosto de 2023,Comentó en: 6 de agosto de 2023
348,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2 noches,En pareja,Calidad y servicio.,"Comodidad, excelente ubicación y servicio.",,,12695.0,julio de 2023,Comentó en: 6 de julio de 2023
349,México,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,3 noches,En grupo,perfecto!!!,"había muchas rutas de transporte, puedes caminar a varios lugares de comida y el servicio fue excelente",,,12695.0,junio de 2023,Comentó en: 27 de junio de 2023
350,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,Magnifico,"La ubicación del hotel, muy lindo el hotel",Nada todo excelente,,12695.0,junio de 2023,Comentó en: 19 de junio de 2023
351,Colombia,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,muy buena opcion,"muy buena ubicacion, las habitaciones muy comodas.",el desayuno,,12695.0,mayo de 2023,Comentó en: 25 de mayo de 2023
352,México,Habitación con cama extragrande y bañera adaptada - Adaptada para personas de movilidad reducida,4 noches,En pareja,Fantástico,la ubicación excelente,la cama,,12695.0,febrero de 2023,Comentó en: 3 de marzo de 2023
353,España,Habitación con cama extragrande.,3 noches,En pareja,Buen hotel en el distrito financiero,Hotel grande y cómodo. Cama muy confortable. Buen servicio de limpieza.,"Se encuentra en el distrito financiero, junto al mar en una zona bonita y bien comunicada. Es cierto que llegada la noche no tiene actividad y no es zona de restaurantes, pero se llega bien a pie.",,12695.0,octubre de 2022,Comentó en: 13 de noviembre de 2022
354,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,1 noche,En familia,Excepcional,Esta presioso muy limpio comodo un lugar espectacular,Todo estaba perfecto,,12695.0,septiembre de 2022,Comentó en: 27 de septiembre de 2022
355,España,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,2 noches,En familia,Fantástico,Las camas,El servicio de Internet,,12695.0,agosto de 2022,Comentó en: 3 de agosto de 2022
356,España,Habitación con cama extragrande.,5 noches,En pareja,Muy bien,"Habitación con vistas, gran tamaño y muy bien aislada",Estaban de obras y no nos avisaron. Restaurante muy caro y de poca calidad,,12695.0,julio de 2022,Comentó en: 2 de agosto de 2022
357,España,Habitación con 2 camas grandes,4 noches,En familia,Perfecto,El hotel es impresionante. Muy céntrico. Las habitaciones amplias y muy cómodas. Muy satisfecha de mi estancia en este hotel,,,12695.0,julio de 2022,Comentó en: 21 de julio de 2022
358,España,Habitación con cama extragrande.,7 noches,En pareja,muy recomendable,"las habitaciones son especiosas y la cama enorme. las zonas comunes super modernas y equipadas. ademas te dan 15 dolares al dia para gastar en el bar o en el pequeño supermercado que tienen dentro. en la puerta tienes varias lineas de autobus y de tranvias, asi como el metro y el bart.",,,12695.0,junio de 2022,Comentó en: 13 de junio de 2022
359,Ecuador,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,7 noches,En familia,Fantástico,Ubicacion,,,12695.0,marzo de 2022,Comentó en: 4 de abril de 2022
360,Ecuador,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,7 noches,En familia,Fantástico,ubicacion,,,12695.0,marzo de 2022,Comentó en: 4 de abril de 2022
361,España,Habitación con 2 camas grandes,3 noches,En grupo,Fantástico,ubicación habitación limpieza Estetica,el parking muy caro,,12695.0,marzo de 2022,Comentó en: 23 de marzo de 2022
362,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,en sueño ❤️,"todo! instalaciones ubicación, personal !",,,12695.0,febrero de 2022,Comentó en: 13 de febrero de 2022
363,Perú,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,5 noches,En familia,lindos momentos,"el hotel está muy bien ubicado. 
la escultura interna es hermosa.",no sirven desayuno. Pero tienen un market en el que puedes comprar lo básico.,,12695.0,enero de 2022,Comentó en: 26 de enero de 2022
364,Estados Unidos,Habitación con 2 camas grandes,1 noche,En familia,Muy bueno,Todo,,,12695.0,enero de 2022,Comentó en: 8 de enero de 2022
365,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Excepcional,El hotel muy bonito y tranquilo,,,12695.0,diciembre de 2021,Comentó en: 4 de enero de 2022
366,Estados Unidos,Habitación con 2 camas grandes,1 noche,En familia,Relajado seguro cómodo,Todo la limpieza seguridad,,,12695.0,enero de 2022,Comentó en: 3 de enero de 2022
367,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,bonito,la ubicaciom,el precio me dieron una mas chica delo k abia apartado por economica i al final me cobraron igual i un cargo esrra de 74 dollars no se de que,,12695.0,abril de 2021,Comentó en: 22 de mayo de 2021
368,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Excepcional,La vista que tuve ala playa,,,12695.0,mayo de 2021,Comentó en: 8 de mayo de 2021
369,Colombia,Habitación con 2 camas grandes,3 noches,En familia,Sitio comodo y muy centrico para quedarse,Personal de aseo muy diligente y muy bueno en su trabajo,"Personal de frontdesk demorado en atender y con muchos reparos para asignarcla habitacion, queriemdo vender UN upgrade a la habitacion no solicitado.",,12695.0,julio de 2023,Comentó en: 5 de julio de 2023
370,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,Aceptable,el lugar es muy bonito limpio,me cobraron $200 de mas y me dijero que era un depósito pero ya pasaron 2 semanas y no me han reembolsado el deposito,,12695.0,diciembre de 2022,Comentó en: 12 de enero de 2023
371,España,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2 noches,En familia,Un excelente hotel si vas a pasar unos días a san Francisco.,"El desayuno, sin lugar a dudas. Uno de los mejores desayunos en cuanto a variedad y cantidad. La fruta, inmejorable y muy variada. Y, viajo mucho.
El lobby y las alturas internas. Muy recomendable.",Pues éramos 5 no 4. No añadieron una cama adicional y no hay habitaciones. Es más culpa de Booking que del hotel puesto que lo especifiqué muy claro en la búsqueda.,,12695.0,abril de 2022,Comentó en: 8 de mayo de 2022
372,Colombia,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,6 noches,En familia,Bien,Ubicacion,El precio final es 35% mayor al precio reservado,,12695.0,abril de 2022,Comentó en: 25 de abril de 2022
373,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2 noches,En familia,Agradable,La vista al mar.,Cosas limpias pero otras muy sucias.,,12695.0,febrero de 2022,Comentó en: 4 de marzo de 2022
374,Chile,Habitación con cama extragrande.,3 noches,En pareja,Un hotel que ofrece muchas comodidades al ofrecer el servicio SIN advertir expresamente las restricc,Personal grato y colaborador,El Servicio de Room Servise NO existio amparado en COVID19 a pesar de NUNCA exigieron presentación de Certificado de vacunación lo que considero una irresponsabilidad hacia los huéspedes,,12695.0,enero de 2022,Comentó en: 17 de enero de 2022
375,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,1 noche,En familia,Esperienza desagradable,La vista de la habitación,Que el personal de limpieza habriera mi cuarto cuando me encontraba durmiendo con mi esposa fue una experiencia muy desagradable,,12695.0,septiembre de 2021,Comentó en: 12 de septiembre de 2021
376,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,1 noche,En familia,Fantástico,La vista al mar es fabulosa,Que el hotel no tiene parking y uno mismo debe buscar donde estacionar y si quieres que tu carro esté seguro debes pagar extra el parking,,12695.0,diciembre de 2020,Comentó en: 28 de diciembre de 2020
377,Emiratos Árabes Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Excepcional,The Best Hotel,,,12695.0,octubre de 2023,Comentó en: 8 de diciembre de 2023
378,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2 noches,En pareja,I was very please eoveralll and will make it my regular hotel when visiting SF.,"The room was excellent, the location was fine and it was very clean",Hard to think of something,,12695.0,diciembre de 2023,Comentó en: 7 de diciembre de 2023
379,Austria,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3 noches,En pareja,Wieder ein paar schöne Tage.,Friendly front desk staff. Effektiv luggage helpers.,Single glass window was not comfortable.Cold feelings.,,12695.0,noviembre de 2023,Comentó en: 28 de noviembre de 2023
380,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,4 noches,Persona que viaja sola,"Wonderful, fantastic stay!","Very nicely decorated, very large room with outdoor balcony (table and chairs too), quiet, comfortable bed. Fantastic bay view.","parking is expensive and humbug, but that is to be expected in San Francisco.",,12695.0,noviembre de 2023,Comentó en: 27 de noviembre de 2023
381,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En familia,Location!,Location was great. Views feom the room and room was clean and cozy.,Needs a better coffee shop in the hotel.,,12695.0,noviembre de 2023,Comentó en: 22 de noviembre de 2023
382,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Iconicly designed hotel still has the right touch.,"Great location thats right across the street from the water front and the ferry building. Walking distance to Bart station, Chinatown, North Beach and Oracle Park. Very friendly staff. Quiet room. Comfy bed. Very well equipped gym.",Nothing,,12695.0,noviembre de 2023,Comentó en: 20 de noviembre de 2023
383,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En familia,"Security excellent, comfortable and clean",Everything is perfect,,,12695.0,noviembre de 2023,Comentó en: 20 de noviembre de 2023
384,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,3 noches,En pareja,Fantástico,Beautiful clean and classy. We had a fantastic view of the bay bridge. Husband really liked the elevators.,The pillows should be a mix of feather and something firmer. Duvet was really thin.,,12695.0,noviembre de 2023,Comentó en: 18 de noviembre de 2023
385,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Excepcional,"We loved everything about our stay: the bed, the room, the staff, the view!!",,,12695.0,noviembre de 2023,Comentó en: 13 de noviembre de 2023
386,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,Amazing will go back!,Location! Clean ...,Massive ... some guests were stuffy. But we had a nice time.,,12695.0,noviembre de 2023,Comentó en: 11 de noviembre de 2023
387,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2 noches,Persona que viaja sola,Excellent stay,Everything,Nothing,,12695.0,noviembre de 2023,Comentó en: 6 de noviembre de 2023
388,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Applause!,"Everything, especially front desk and valet drivers.",Nothing.,,12695.0,septiembre de 2023,Comentó en: 2 de noviembre de 2023
389,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Muy bien,"Great location, clean comfortable room. Staff worked to accommodate my request for a different room.
Restaurant options were too limited. No breakfast options other than a very expensive buffet.",,,12695.0,octubre de 2023,Comentó en: 31 de octubre de 2023
390,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Excepcional,Very nice interior.,,,12695.0,octubre de 2023,Comentó en: 29 de octubre de 2023
391,Estados Unidos,Habitación con cama extragrande y vistas al mar,1 noche,En pareja,"Over all was amazing, but ask for sea view room.",The view is amazing,ICE machine next to the room,,12695.0,octubre de 2023,Comentó en: 22 de octubre de 2023
392,México,Habitación con 2 camas grandes,2 noches,En familia,"Well located in SF dowtown, good service, nice building and rooms",Location and building and rooms,Valer parking,,12695.0,octubre de 2023,Comentó en: 20 de octubre de 2023
393,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,3 noches,Persona que viaja sola,Nice hotel with great views of downtown SF and the bay.,"Clean, nice spacious room with a great view, great downtown location, lovely staff",Food pretty overpriced,,12695.0,octubre de 2023,Comentó en: 20 de octubre de 2023
394,Estados Unidos,Habitación con balcón y vistas a la ciudad - 2 camas grandes,2 noches,En familia,Excepcional,The customer service was great our room was very nice and modern and we had a great partial bay view,,,12695.0,octubre de 2023,Comentó en: 20 de octubre de 2023
395,México,Habitación con vistas a la bahía - 1 cama extragrande,2 noches,En familia,Great place to walk around San Francisco downtown,"Great location and building, rooms are really nice",Price of Valet Parking,,12695.0,octubre de 2023,Comentó en: 18 de octubre de 2023
396,Estados Unidos,Habitación con 2 camas grandes,1 noche,En grupo,n/a,clean and beds were comfortable,nothing,,12695.0,octubre de 2023,Comentó en: 17 de octubre de 2023
397,Egipto,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,excellent but very expensive,The location the Architecture of the hotel,Over charged for no reason (+100 USD),,12695.0,octubre de 2023,Comentó en: 16 de octubre de 2023
398,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1 noche,En pareja,Fun night in the city!,"Room size and cleanliness was positive. Very little outside noise. 
We are locals and enjoyed a night on the town. All walkable!","Room had an odd odor like old cigarette smoke (room 649). 
Older heavy set waitress looked miserable and not very friendly. We ended up being waited in by a very nice woman.",,12695.0,octubre de 2023,Comentó en: 16 de octubre de 2023
399,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Loved the balcony and how beautiful the room was.,Room was beautiful. The hotel itself was inviting and the staff was pleasant.,There was a throw up stain near the balcony doors. It had been cleaned but was still noticeable.,,12695.0,septiembre de 2023,Comentó en: 15 de octubre de 2023
400,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,We loved the facility the room,It had balcony you get the ocean view,Parking $80 it’s crazzy price,,12695.0,octubre de 2023,Comentó en: 15 de octubre de 2023
401,Sudáfrica,Habitación con cama extragrande y acceso al club,4 noches,Persona que viaja sola,Wonderful location easy access to everything,"Location
Comfort
The view 
The balcony 
The room was spectacular",Nothing,,12695.0,octubre de 2023,Comentó en: 14 de octubre de 2023
402,Pakistán,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,Persona que viaja sola,Great place to stay.,The hotel is located at a very convenient location. The ambiance of the hotel is great. all staff were very helpful and smiling. room was spacious and beds comfortable. Rooms were clean and with all amenities. The buffet breakfast was ok. Would definitely recommend the hotel.,Nothing,,12695.0,septiembre de 2023,Comentó en: 13 de octubre de 2023
403,Sri Lanka,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,Value for money and superb helpful staff,Superb staff and helpful not like majority of other hotels in USA that you need to carry all your bags all alone. This hotel they have the services that I expected. I would say one of the hotels really do the service business properly. Majority of other hotels has just turned to profit protected by now.,The Restaurants closing too early and the room I stayed had noise coming from outside slightly. Few people were Loud at the walking path like 12-2am and that disturbed my sleep. I am a person who awakes up for even a small noise.,,12695.0,septiembre de 2023,Comentó en: 13 de octubre de 2023
404,Estados Unidos,Habitación Doble con 2 camas dobles y vistas a la bahía,1 noche,En grupo,Fantástico,Great location. Comfortable room.,Checkin is 4pm. Not enough seating in lobby. Price too high.,,12695.0,octubre de 2023,Comentó en: 10 de octubre de 2023
405,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,2 noches,En pareja,It was very memorable,I wish breakfast was included,No Stores close by,,12695.0,octubre de 2023,Comentó en: 10 de octubre de 2023
406,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2 noches,En pareja,Excellent,No complaints except could not find ice maker.,,,12695.0,octubre de 2023,Comentó en: 8 de octubre de 2023
407,Israel,Habitación con cama extragrande.,1 noche,En familia,Fantástico,Good location. Nice and clean hotel,,,12695.0,octubre de 2023,Comentó en: 6 de octubre de 2023
408,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Excepcional,Everything,Pillows,,12695.0,septiembre de 2023,Comentó en: 4 de octubre de 2023
409,República Checa,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,Persona que viaja sola,Fantástico,"I can compare this hotel with other (expensive 5 stars) hotels in SF-downtown or warf surroundings , which visited we in the past .. Hyatt Regency is fabulous !",,,12695.0,septiembre de 2023,Comentó en: 4 de octubre de 2023
410,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En familia,Muy bien,The view!!! Really nice and clean room. Great location. The sweetest lady at the reception recommended us a room with the best view and organised an extra bed for our son. Nice design of the room and the lobby.,"No slippers or robes, no water bottles in the room. Extremely long elevator waiting times.",,12695.0,octubre de 2023,Comentó en: 3 de octubre de 2023
411,Estados Unidos,Habitación con cama extragrande.,1 noche,Persona que viaja sola,Excepcional,The parking cost is outrageous,,,12695.0,septiembre de 2023,Comentó en: 3 de octubre de 2023
412,Estados Unidos,Habitación con 2 camas grandes,1 noche,En familia,"Very Good hotel by itself, just the location us not very safe and some noise from streets at night kept me awake","Very good lobby and friendly staff . Room upgraded to ocean view high floor king suit , which are very good.","Very loud noise from the street in night time. Although we are in the high floors , can hear people kicking garbage bins on street, and very loud noise from streets. 
Also the buffet breakfast is not deserve the money.",,12695.0,septiembre de 2023,Comentó en: 3 de octubre de 2023
413,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Our stay in SF for the Giants game,"Location, friendly staff, & clean room & hotel.","I asked for a small fan before we got there & it wasn't in our room, but that was about it.",,12695.0,octubre de 2023,Comentó en: 2 de octubre de 2023
414,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2 noches,En pareja,Excepcional,Loved the location,,,12695.0,septiembre de 2023,Comentó en: 1 de octubre de 2023
415,Canadá,Habitación con vistas a la bahía - 1 cama extragrande,2 noches,En familia,Excepcional,The hotel was over the top with amenities. We loved the regency club,Nothing we didnt like,,12695.0,agosto de 2023,Comentó en: 28 de septiembre de 2023
416,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,4,I love it,,,12695.0,septiembre de 2023,Comentó en: 26 de septiembre de 2023
417,Polinesia Francesa,Habitación Doble con 2 camas dobles y vistas a la bahía,4 noches,En familia,"Splendide hôtel, architecture exceptionnelle.",Splendide hôtel à l'architecture exceptionnelle.,,,12695.0,septiembre de 2023,Comentó en: 25 de septiembre de 2023
418,Emiratos Árabes Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3 noches,En pareja,Surviving SF Marathon without bathtub,A hint of fascist architecture 😂,Somewhat spectacular but missing a bathtub,,12695.0,julio de 2023,Comentó en: 25 de septiembre de 2023
419,Alemania,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,9 noches,En pareja,Excepcional,The bay view from the balcony. The PC with the fast internet in the lobby. The friendly staff.,The slow wlan connection.,,12695.0,agosto de 2023,Comentó en: 23 de septiembre de 2023
420,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Great clean hotel,Location,,,12695.0,septiembre de 2023,Comentó en: 19 de septiembre de 2023
421,Estados Unidos,Habitación con 2 camas grandes,2 noches,En familia,Pleasant stay. Thank you,Nice clean hotel and kind helpful staff.,The elevators took too long to arrive.,,12695.0,junio de 2023,Comentó en: 17 de septiembre de 2023
422,India,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3 noches,Persona que viaja sola,too good!,overall location staff everything else about the property,everything was good,,12695.0,agosto de 2023,Comentó en: 15 de septiembre de 2023
423,Reino Unido,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,5 noches,En pareja,Fantástico,The hotel,,,12695.0,septiembre de 2023,Comentó en: 11 de septiembre de 2023
