,nationality,acommodation,stay,company,review_title,good_review,bad_review,url,hotel_id,date
480,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,2 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,abril de 2023
481,México,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En grupo,Pésimo,Esta entrada no tiene comentarios,,,581.0,abril de 2023
482,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,abril de 2023
483,Estados Unidos,Habitación con cama extragrande.,1 noche,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,581.0,marzo de 2023
484,Estados Unidos,Habitación con cama extragrande.,2 noches,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,581.0,abril de 2023
485,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,marzo de 2023
486,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,4 noches,En grupo,Mal,Esta entrada no tiene comentarios,,,581.0,marzo de 2023
487,"Abjasia, Georgia",Habitación con cama extragrande.,2 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,marzo de 2023
488,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,marzo de 2023
489,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,4 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,marzo de 2023
490,Estados Unidos,Habitación con cama extragrande y ducha a ras de suelo - Adaptada para personas con movilidad reducida,1 noche,En pareja,The staff was efficient and professional,Esta entrada no tiene comentarios,,,581.0,diciembre de 2022
491,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2022
492,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2022
493,Estados Unidos,Habitación con cama extragrande.,4 noches,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2022
494,Estados Unidos,Habitación con cama extragrande.,2 noches,En grupo,Excepcional,Esta entrada no tiene comentarios,,,581.0,octubre de 2022
495,Estados Unidos,Habitación con cama extragrande.,4 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2022
496,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Pésimo,Esta entrada no tiene comentarios,,,581.0,noviembre de 2022
497,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En grupo,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2022
498,Estados Unidos,Habitación con cama extragrande y ducha a ras de suelo - Adaptada para personas con movilidad reducida,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2022
499,Estados Unidos,Habitación con cama extragrande.,5 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2022
500,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,octubre de 2022
501,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,octubre de 2022
502,Eslovenia,Suite Estudio con 2 camas grandes y cocina,3 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,octubre de 2022
503,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,2 noches,En familia,Decepcionante,Esta entrada no tiene comentarios,,,581.0,octubre de 2022
504,Estados Unidos,Habitación con cama extragrande.,5 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2022
505,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Agradable,Esta entrada no tiene comentarios,,,581.0,octubre de 2022
506,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,3 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,octubre de 2022
507,Canadá,King Studio Suite with Kitchen and Accessible Tub - Disability Access,2 noches,En grupo,Excepcional,Esta entrada no tiene comentarios,,,581.0,octubre de 2022
508,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,octubre de 2022
509,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2022
510,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2022
511,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En grupo,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2022
512,Estados Unidos,King Studio Suite with Kitchen and Accessible Tub - Disability Access,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
513,Estados Unidos,Habitación con cama extragrande.,2 noches,En pareja,Agradable,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
514,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2022
515,Estados Unidos,"One-Bedroom Specialty Suite with Two Queen Beds, Sofa Bed and Kitchen",5 noches,En familia,Pésimo,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
516,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,4 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2022
517,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
518,Estados Unidos,"One-Bedroom Specialty Suite with Two Queen Beds, Sofa Bed and Kitchen",4 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2022
519,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,6 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2022
520,Estados Unidos,Habitación con cama extragrande y ducha a ras de suelo - Adaptada para personas con movilidad reducida,1 noche,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,581.0,junio de 2022
521,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2022
522,Estados Unidos,Habitación con cama extragrande.,2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2022
523,Estados Unidos,"Suite de 1 dormitorio con cama extragrande, cocina y sofá cama",1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,junio de 2022
524,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,junio de 2022
525,Estados Unidos,Habitación con cama extragrande.,2 noches,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,581.0,junio de 2022
526,India,Suite Estudio con 2 camas grandes y cocina,2 noches,En familia,Aceptable,Esta entrada no tiene comentarios,,,581.0,mayo de 2022
527,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,2 noches,En familia,Pésimo,Esta entrada no tiene comentarios,,,581.0,junio de 2022
528,Estados Unidos,"Suite de 1 dormitorio con cama extragrande, cocina y sofá cama",3 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,abril de 2022
529,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,junio de 2022
530,,"Suite de 1 dormitorio con cama extragrande, cocina y sofá cama",3 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,mayo de 2022
531,Estados Unidos,Habitación con cama extragrande y ducha a ras de suelo - Adaptada para personas con movilidad reducida,1 noche,En pareja,Agradable,Esta entrada no tiene comentarios,,,581.0,mayo de 2022
532,Arabia Saudí,"Suite de 1 dormitorio con cama extragrande, cocina y sofá cama",7 noches,En pareja,Agradable,Esta entrada no tiene comentarios,,,581.0,abril de 2022
533,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,abril de 2022
534,Estados Unidos,Habitación con cama extragrande.,1 noche,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,581.0,abril de 2022
535,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,2 noches,En familia,5 star,Esta entrada no tiene comentarios,,,581.0,abril de 2022
536,Estados Unidos,Habitación con cama extragrande.,1 noche,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,581.0,abril de 2022
537,Estados Unidos,Habitación con cama extragrande.,2 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,febrero de 2022
538,Alemania,Suite Estudio con cocina y sofá cama - Cama extragrande,3 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,marzo de 2022
539,Estados Unidos,Habitación con cama extragrande.,4 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,marzo de 2022
540,Estados Unidos,Habitación con cama extragrande.,2 noches,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,581.0,marzo de 2022
541,Estados Unidos,Habitación con cama extragrande.,2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,marzo de 2022
542,Estados Unidos,Habitación con cama extragrande.,2 noches,Persona que viaja sola,Agradable,Esta entrada no tiene comentarios,,,581.0,marzo de 2022
543,Chile,Suite Estudio con cocina y sofá cama - Cama extragrande,5 noches,En grupo,Excepcional,Esta entrada no tiene comentarios,,,581.0,marzo de 2022
544,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,febrero de 2022
545,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,2 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,febrero de 2022
546,Estados Unidos,Habitación con cama extragrande.,3 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,febrero de 2022
547,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,581.0,febrero de 2022
548,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,3 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2021
549,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,enero de 2022
550,Estados Unidos,Habitación con cama extragrande.,2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,enero de 2022
551,Estados Unidos,Habitación con cama extragrande.,4 noches,En pareja,Decepcionante,Esta entrada no tiene comentarios,,,581.0,diciembre de 2021
552,Bélgica,Suite Estudio con 2 camas grandes y cocina,3 noches,En grupo,Excepcional,Esta entrada no tiene comentarios,,,581.0,octubre de 2021
553,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,2 noches,En grupo,Excepcional,Esta entrada no tiene comentarios,,,581.0,diciembre de 2021
554,Estados Unidos,"Suite de 1 dormitorio con cama extragrande, cocina y sofá cama",1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2021
555,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,3 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2021
556,Estados Unidos,"Suite de 1 dormitorio con cama extragrande, cocina y sofá cama",1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2021
557,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2021
558,Emiratos Árabes Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,octubre de 2021
559,Estados Unidos,"One-Bedroom Specialty Suite with Two Queen Beds, Sofa Bed and Kitchen",2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2021
560,Estados Unidos,"Suite de 1 dormitorio con cama extragrande, cocina y sofá cama",3 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,octubre de 2021
561,Estados Unidos,Habitación con cama extragrande.,2 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2021
562,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2021
563,Estados Unidos,Habitación con cama extragrande.,1 noche,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,581.0,agosto de 2021
564,Estados Unidos,Habitación con cama extragrande.,2 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,agosto de 2021
565,Estados Unidos,"One-Bedroom Specialty Suite with Two Queen Beds, Sofa Bed and Kitchen",1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,agosto de 2021
566,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,agosto de 2021
567,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,agosto de 2021
568,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2021
569,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,4 noches,En grupo,Excellent,Esta entrada no tiene comentarios,,,581.0,junio de 2021
570,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,5 noches,En familia,Aceptable,Esta entrada no tiene comentarios,,,581.0,julio de 2021
571,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,4 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2021
572,Estados Unidos,Habitación con cama extragrande.,5 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2021
573,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,junio de 2021
574,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,581.0,junio de 2021
575,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,junio de 2021
576,Estados Unidos,Suite de 1 dormitorio con 2 camas grandes y sofá cama,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,mayo de 2021
577,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,junio de 2021
578,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,mayo de 2021
579,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,2 noches,En familia,Loved it!!,Esta entrada no tiene comentarios,,,581.0,mayo de 2021
580,Estados Unidos,Habitación con cama extragrande y ducha a ras de suelo - Adaptada para personas con movilidad reducida,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,mayo de 2021
581,Estados Unidos,Habitación con cama extragrande.,1 noche,Persona que viaja sola,Excepcional,Esta entrada no tiene comentarios,,,581.0,mayo de 2021
582,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,abril de 2021
583,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,abril de 2021
584,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,mayo de 2021
585,Estados Unidos,Habitación con cama extragrande.,2 noches,En pareja,Agradable,Esta entrada no tiene comentarios,,,581.0,mayo de 2021
586,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Muy bien,Esta entrada no tiene comentarios,,,581.0,octubre de 2022
587,Estados Unidos,Habitación con cama extragrande.,3 noches,En familia,Muy bien,Esta entrada no tiene comentarios,,,581.0,septiembre de 2022
588,Estados Unidos,Habitación con cama extragrande.,2 noches,En pareja,Muy bien,Esta entrada no tiene comentarios,,,581.0,abril de 2022
589,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Fantástico,Esta entrada no tiene comentarios,,,581.0,julio de 2021
590,Estados Unidos,Habitación con cama extragrande.,5 noches,En pareja,Fantástico,Esta entrada no tiene comentarios,,,581.0,abril de 2021
591,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2023
592,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,agosto de 2023
593,Estados Unidos,Habitación con cama extragrande.,1 noche,En grupo,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2022
594,Estados Unidos,Habitación con cama extragrande.,2 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,febrero de 2022
595,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2021
596,Estados Unidos,Habitación con cama extragrande.,2 noches,En grupo,Excepcional,Esta entrada no tiene comentarios,,,581.0,octubre de 2021
597,Estados Unidos,Habitación con cama extragrande.,3 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,mayo de 2021
598,Estados Unidos,Habitación con cama extragrande.,2 noches,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,mayo de 2021
599,Estados Unidos,Habitación con cama extragrande.,2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,mayo de 2021
600,Alemania,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En familia,Alles bestens - vor allem das Frühstück war prima! Parken etwas überteuert.,Esta entrada no tiene comentarios,,,581.0,octubre de 2023
601,Corea del Sur,Habitación con cama extragrande.,3 noches,En grupo,Muy bien,Esta entrada no tiene comentarios,,,581.0,octubre de 2023
602,Finlandia,Habitación con cama extragrande.,3 noches,En pareja,Muy bien,Esta entrada no tiene comentarios,,,581.0,octubre de 2023
603,Noruega,Habitación con cama extragrande.,3 noches,En familia,Muy bien,Esta entrada no tiene comentarios,,,581.0,octubre de 2023
604,Alemania,King Studio Suite with Kitchen and Accessible Tub - Disability Access,1 noche,En grupo,Fantástico,Esta entrada no tiene comentarios,,,581.0,septiembre de 2023
605,Hungría,Habitación con cama extragrande.,2 noches,En familia,Fantástico,Esta entrada no tiene comentarios,,,581.0,septiembre de 2023
606,Austria,Suite Estudio con 2 camas grandes y cocina,7 noches,En familia,Bien,Esta entrada no tiene comentarios,,,581.0,agosto de 2023
607,Japón,Suite Estudio con 2 camas grandes y cocina,1 noche,En familia,Muy bien,Esta entrada no tiene comentarios,,,581.0,agosto de 2023
608,Francia,Suite Estudio con 2 camas grandes y cocina,4 noches,En familia,Bien,Esta entrada no tiene comentarios,,,581.0,agosto de 2023
609,Alemania,King Studio Suite with Kitchen and Accessible Tub - Disability Access,8 noches,En familia,Muy bien,Esta entrada no tiene comentarios,,,581.0,agosto de 2023
610,Alemania,Suite Estudio con cocina y sofá cama - Cama extragrande,4 noches,En familia,Muy bien,Esta entrada no tiene comentarios,,,581.0,julio de 2023
611,Francia,Suite Estudio con 2 camas grandes y cocina,5 noches,En familia,Fantástico,Esta entrada no tiene comentarios,,,581.0,abril de 2023
612,Estados Unidos,One-Bedroom Specialty Suite with Two Queen Beds and Accessible Tub,2 noches,En grupo,Bien,Esta entrada no tiene comentarios,,,581.0,noviembre de 2022
613,Francia,Habitación con cama extragrande.,5 noches,En familia,Fantástico,Esta entrada no tiene comentarios,,,581.0,noviembre de 2022
614,Austria,Habitación con cama extragrande.,6 noches,En grupo,Bien,Esta entrada no tiene comentarios,,,581.0,octubre de 2022
615,Estados Unidos,Habitación con cama extragrande.,2 noches,En pareja,Muy bien,Esta entrada no tiene comentarios,,,581.0,octubre de 2022
616,Alemania,Habitación con cama extragrande.,7 noches,En grupo,Fantástico,Esta entrada no tiene comentarios,,,581.0,septiembre de 2022
617,Canadá,Habitación con cama extragrande.,2 noches,En pareja,Muy bien,Esta entrada no tiene comentarios,,,581.0,septiembre de 2022
618,Italia,Suite de 1 dormitorio con 2 camas grandes y sofá cama,3 noches,En familia,Bien,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
619,Alemania,Suite de 1 dormitorio con 2 camas grandes y sofá cama,2 noches,En familia,Bien,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
620,Francia,Suite Estudio con 2 camas grandes y cocina,6 noches,En familia,Fantástico,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
621,Francia,Suite Estudio con 2 camas grandes y cocina,2 noches,En familia,Muy bien,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
622,Suiza,Suite Estudio con 2 camas grandes y cocina,5 noches,En familia,Fantástico,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
623,Canadá,King Studio Suite with Kitchen and Accessible Tub - Disability Access,2 noches,En familia,Fantástico,Esta entrada no tiene comentarios,,,581.0,julio de 2022
624,Francia,Suite Estudio con 2 camas grandes y cocina,5 noches,En familia,Fantástico,Esta entrada no tiene comentarios,,,581.0,julio de 2022
625,Italia,Suite Estudio con 2 camas grandes y cocina,2 noches,En familia,Fantástico,Esta entrada no tiene comentarios,,,581.0,julio de 2022
626,Alemania,Habitación con cama extragrande.,3 noches,En pareja,Muy bien,Esta entrada no tiene comentarios,,,581.0,marzo de 2022
627,México,Habitación con cama extragrande.,4 noches,En pareja,Fantástico,Esta entrada no tiene comentarios,,,581.0,julio de 2021
628,Estados Unidos,Habitación con cama extragrande.,5 noches,En familia,Muy bien,Esta entrada no tiene comentarios,,,581.0,junio de 2021
629,Estados Unidos,Habitación con cama extragrande.,3 noches,En pareja,Good,Esta entrada no tiene comentarios,,,581.0,noviembre de 2023
630,Francia,King Studio Suite with Kitchen and Accessible Tub - Disability Access,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,noviembre de 2023
631,Brasil,Suite Estudio con cocina y sofá cama - Cama extragrande,3 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2023
632,Polonia,Habitación con cama extragrande.,2 noches,En pareja,Agradable,Esta entrada no tiene comentarios,,,581.0,septiembre de 2023
633,México,Suite Estudio con 2 camas grandes y cocina,4 noches,En grupo,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2023
634,México,Habitación con cama extragrande.,8 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2023
635,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2023
636,Brasil,Suite Estudio con 2 camas grandes y cocina,6 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,agosto de 2023
637,Japón,Suite de 1 dormitorio con 2 camas grandes y sofá cama,3 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2023
638,Israel,Suite Estudio con 2 camas grandes y cocina,4 noches,En familia,Muy mal,Esta entrada no tiene comentarios,,,581.0,agosto de 2023
639,Japón,Habitación con cama extragrande.,7 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2023
640,Suiza,Suite de 1 dormitorio con 2 camas grandes y sofá cama,3 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2023
641,Israel,Suite Estudio con 2 camas grandes y cocina,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2023
642,Italia,Suite Estudio con 2 camas grandes y cocina,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2023
643,Rusia,Suite Estudio con 2 camas grandes y cocina,2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,abril de 2023
644,Estados Unidos,King Studio Suite with Kitchen and Accessible Tub - Disability Access,2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,abril de 2023
645,México,Suite de 1 dormitorio con 2 camas grandes y sofá cama,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,marzo de 2023
646,Brasil,Suite Estudio con 2 camas grandes y cocina,4 noches,En familia,Agradable,Esta entrada no tiene comentarios,,,581.0,enero de 2023
647,Polonia,Suite Estudio con 2 camas grandes y cocina,3 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
648,Israel,Suite Estudio con 2 camas grandes y cocina,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2022
649,Japón,Suite Estudio con 2 camas grandes y cocina,2 noches,En grupo,Excepcional,Esta entrada no tiene comentarios,,,581.0,septiembre de 2022
650,Italia,Suite Estudio con 2 camas grandes y cocina,3 noches,En familia,Agradable,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
651,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
652,Francia,Suite Estudio con 2 camas grandes y cocina,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,agosto de 2022
653,Austria,Suite Estudio con 2 camas grandes y cocina,3 noches,En familia,Super!!,Esta entrada no tiene comentarios,,,581.0,julio de 2022
654,Israel,Habitación con cama extragrande.,4 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2022
655,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,2 noches,En grupo,Excepcional,Esta entrada no tiene comentarios,,,581.0,abril de 2022
656,Taiwán,Suite Estudio con 2 camas grandes y cocina,2 noches,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,enero de 2022
657,Noruega,Suite Estudio con 2 camas grandes y cocina,7 noches,En pareja,Fantástico,Esta entrada no tiene comentarios,,,581.0,noviembre de 2022
658,Francia,Suite Estudio con 2 camas grandes y cocina,3 noches,En grupo,Fantástico,Esta entrada no tiene comentarios,,,581.0,junio de 2022
659,Estados Unidos,Suite Estudio con 2 camas grandes y cocina,1 noche,En familia,Excepcional,Esta entrada no tiene comentarios,,,581.0,julio de 2022
0,Ecuador,Habitación con cama extragrande.,4 noches,Persona que viaja sola,Muy buena estancia,"Es un hotel con una muy buena ubicación, excelente atención del personal 
El desayuno es muy bueno",,,595.0,julio de 2023
1,El Salvador,Habitación Doble - 2 camas dobles,2 noches,En grupo,Súper recomendable,"Las instalaciones son de primera calidad, el personal fue muy atento y amable, la ubicación es increíble, unión Square a una cuadra y todo lo que se necesite está cerca, las habitaciones están aisladas de sonido, por lo que se descansa súper bien.","La habitación y las camas son pequeñas, por lo que dormir dos personas en una sola cama no es del todo cómodo, además las camas son un poco aguadas, sin embargo eso no opaca la estancia de calidad que se recibe. Por lo demás lo recomiendo, ya que la calidad de servicio y las instalaciones es increíble.",,595.0,octubre de 2023
2,Chile,Habitación con cama extragrande y ducha adaptada - Adaptada para personas de movilidad reducida,3 noches,En pareja,Hermosa ciudad,"Ubicación Excelente, el personal muy amable,","no estaba incluido el desayuno, habia que comprar como extra, que tampoco era de gran calidad.",,595.0,septiembre de 2023
3,Chile,Habitación con cama extragrande.,4 noches,En familia,Excelente hotel7,Ubicacion,Nada,,595.0,agosto de 2023
